,,,,Independent Variable,Distance moved,Velocity,Velocity.1
,,,,Independent Variable,Center-point,Center-point,Center-point
,,,,Treatment,Total,Mean,Total
,,,,,cm,cm/s,cm/s
Result 1,Trial     1,A1,Start-0:10:00,,14.8934,0.225384,186.167
Result 1,Trial     1,A1,0:10:00-0:20:00,,-,-,-
Result 1,Trial     1,A1,0:20:00-0:30:00,,-,-,-
Result 1,Trial     1,A1,0:30:00-0:40:00,,-,-,-
Result 1,Trial     1,A1,0:40:00-0:50:00,,-,-,-
Result 1,Trial     1,A1,0:50:00-1:00:00,,-,-,-
Result 1,Trial     1,A1,1:00:00-1:10:00,,0.535179,0.155575,6.68974
Result 1,Trial     1,A1,1:10:00-1:20:00,,-,-,-
Result 1,Trial     1,A1,1:20:00-1:30:00,,0.76018,0.0278658,9.50225
Result 1,Trial     1,A1,1:30:00-1:40:00,,-,-,-
Result 1,Trial     1,A1,1:40:00-1:50:00,,-,-,-
Result 1,Trial     1,A1,1:50:00-2:00:00,,-,-,-
Result 1,Trial     1,A1,2:00:00-2:10:00,,0.160446,0.005525,2.00558
Result 1,Trial     1,A1,2:10:00-2:20:00,,-,-,-
Result 1,Trial     1,A1,2:20:00-2:30:00,,-,-,-
Result 1,Trial     1,A1,2:30:00-2:40:00,,0.109852,0.0217961,1.37315
Result 1,Trial     1,A1,2:40:00-2:50:00,,-,-,-
Result 1,Trial     1,A1,2:50:00-3:00:00,,-,-,-
Result 1,Trial     1,A1,3:00:00-3:10:00,,0,0,0
Result 1,Trial     1,A1,3:10:00-3:20:00,,0,0,0
Result 1,Trial     1,A1,3:20:00-3:30:00,,0.0599217,9.99761e-05,0.749021
Result 1,Trial     1,A1,3:30:00-3:40:00,,0.109705,0.000182964,1.37132
Result 1,Trial     1,A1,3:40:00-3:50:00,,0.215438,0.00036012,2.69298
Result 1,Trial     1,A1,3:50:00-4:00:00,,0.348861,0.00169153,4.36077
Result 1,Trial     1,A1,4:00:00-4:10:00,,1.04034,0.00280444,13.0042
Result 1,Trial     1,A1,4:10:00-4:20:00,,0.0553439,9.22891e-05,0.691799
Result 1,Trial     1,A1,4:20:00-4:30:00,,0.0740276,0.000123412,0.925344
Result 1,Trial     1,A1,4:30:00-4:40:00,,0,0,0
Result 1,Trial     1,A1,4:40:00-4:50:00,,0.164697,0.000274495,2.05871
Result 1,Trial     1,A1,4:50:00-5:00:00,,0.0445202,7.42003e-05,0.556502
Result 1,Trial     1,A1,5:00:00-5:10:00,,0.11188,0.000186765,1.39849
Result 1,Trial     1,A1,5:10:00-5:20:00,,0.69097,0.00116153,8.63713
Result 1,Trial     1,A1,5:20:00-5:30:00,,0,0,0
Result 1,Trial     1,A1,5:30:00-5:40:00,,0,0,0
Result 1,Trial     1,A1,5:40:00-5:50:00,,0.290455,0.106785,3.63069
Result 1,Trial     1,A1,5:50:00-6:00:00,,-,-,-
Result 1,Trial     1,A1,6:00:00-6:10:00,,0,0,0
Result 1,Trial     1,A1,6:10:00-6:20:00,,-,-,-
Result 1,Trial     1,A1,6:20:00-6:30:00,,0.226185,0.235609,2.82731
Result 1,Trial     1,A1,6:30:00-6:40:00,,-,-,-
Result 1,Trial     1,A1,6:40:00-6:50:00,,-,-,-
Result 1,Trial     1,A1,6:50:00-7:00:00,,0,0,0
Result 1,Trial     1,A1,7:00:00-7:10:00,,-,-,-
Result 1,Trial     1,A1,7:10:00-7:20:00,,0,0,0
Result 1,Trial     1,A1,7:20:00-7:30:00,,0.460213,0.00600487,5.75267
Result 1,Trial     1,A1,7:30:00-7:40:00,,0.149315,0.00320694,1.86644
Result 1,Trial     1,A1,7:40:00-7:50:00,,-,-,-
Result 1,Trial     1,A1,7:50:00-8:00:00,,2.92392,0.0172076,36.549
Result 1,Trial     1,A1,8:00:00-8:10:00,,-,-,-
Result 1,Trial     1,A1,8:10:00-8:20:00,,7.04151,0.778928,88.0188
Result 1,Trial     1,A1,8:20:00-8:30:00,,1.95771,0.815711,24.4713
Result 1,Trial     1,A1,8:30:00-8:40:00,,0.240326,0.0234693,3.00408
Result 1,Trial     1,A1,8:40:00-8:50:00,,-,-,-
Result 1,Trial     1,A1,8:50:00-9:00:00,,-,-,-
Result 1,Trial     1,A1,9:00:00-9:10:00,,-,-,-
